Unnamed: 0,Track Name,Artist(s),Popularity,Audio Preview,Cover Image,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Genre
651,"Ram Siya Ram (From ""Adipurush"")","Sachet-Parampara, Sachet Tandon, Parampara Tandon",72,https://p.scdn.co/mp3-preview/30b8ca136fce3f8e011c8117ae405822910cf1f9?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273497b38a2a59095193de438d1,0.426,0.617,-6.377,0.0278,0.599,0.181,81.982,hindi devotional
923,Mangalam,"G. Gayathri Devi, Saindhavi",20,https://p.scdn.co/mp3-preview/b92b353f715e71317110ec03a18cf07ddae9db18?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273e5a49604a0a7ce66aa58db42,0.457,0.316,-13.443,0.0644,0.651,0.103,134.773,hindi devotional
2066,Center of Attention,Angelo Garnier,66,https://p.scdn.co/mp3-preview/5e18516a7f372292c73a17342ab8ef20795f2979?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b27380c10b343a7c8059d8198b8b,0.144,0.00391,-39.722,0.0432,0.992,0.113,139.86,yoga
397,Jhule Palna Mein Krishan Kanhaiya,Chitra Vichitra Ji Maharaj,46,https://p.scdn.co/mp3-preview/c3350e19d72023909f4f7485456b3764cb5b18ae?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2730233483e5f0a454a846a84b1,0.673,0.941,-4.579,0.128,0.361,0.111,116.003,bhajan
19,Mera Ram Keval Bhajan Me Milega,Rajan Ji Maharaj,26,https://p.scdn.co/mp3-preview/e621cd3983864acb59e01e2b9d3c02e2d92b74ae?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27304ca2c6e88da58935e2f9925,0.497,0.487,-10.987,0.0404,0.649,0.0238,115.095,bhajan
1880,Aura,Criollo Clouds,49,https://p.scdn.co/mp3-preview/19a8f7afc2c5e29aaffe6438963857d28d931321?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273a3cfec7787c451aa75d5d2df,0.197,0.0116,-36.964,0.04,0.971,0.11,69.187,relaxation
2098,Subtle Differences,Endemoniada,46,https://p.scdn.co/mp3-preview/50a6ff999f141fa2bbed40f822fb63a81cdbe8bc?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b27372c7e9f4cd225ca16c4c8f5a,0.1,0.0082,-35.152,0.0425,0.907,0.105,86.755,yoga
858,Bham Bham Bholenath,"Pranav Chaganty, Jen Martin",41,https://p.scdn.co/mp3-preview/4ac7db0b895390e5163da41fbee40adc30310736?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273dd6ae45e54235f11f5492a35,0.661,0.712,-9.638,0.0511,0.346,0.102,108.038,hindi devotional
2249,Whispered Memories,Jolene Cedar,34,https://p.scdn.co/mp3-preview/51849dba689aedac66bfc46142a4be1ec92922a8?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273dd9475a1522faf5ef10780eb,0.604,0.153,-15.16,0.0304,0.982,0.12,58.986,yoga
1559,Mera Aapki Kripa Se,Poonam Sharma,18,https://p.scdn.co/mp3-preview/0a0aa22c86358b7f1600d7f874d1e0b2cd496465?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273e79b55a9a2b1070151df1b82,0.727,0.934,1.127,0.0298,0.671,0.17,105.017,hindi devotional
443,जहाँ डाल डाल पर सोने की चिड़ियां करती हैं बसेरा,Ranjan Ji Maharaj,34,https://p.scdn.co/mp3-preview/a784ac4fd3dcef3943d59965efbb366e8717ec8e?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2732161dc73e67ab5f93f40cee6,0.543,0.732,-5.348,0.0519,0.416,0.0635,130.652,bhajan
